STATUS,REASON,ORIGIN,SUBJECT,PRIORITY,DESCRIPTION,ISCLOSED,CLOSEDDATE,ISESCALATED,CREATEDDATE,NICE_INCONTACT_CLOSED_DATE_TIME__C,NIC_CREATED_DATE__C,Business_Hours
Closed,,Web,Product Problem,High,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero,TRUE,2018-12-12T00:32:44.000Z,,2018-12-12T00:28:44.000Z,2018-12-12 00:32:44 UTC,2018-12-12T00:28:44Z,01m4P000000m2dc
Closed,,Phone,General Inquiry,High,sem sed sagittis nam congue risus semper porta volutpat quam pede,TRUE,2019-05-27T21:07:04.000Z,,2019-05-27T21:03:04.000Z,2019-05-27 21:07:04 UTC,2019-05-27T21:03:04Z,01m4P000000m2dc
Closed,,Email,Product Problem,Low,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,TRUE,2019-07-24T14:03:53.000Z,,2019-07-24T13:59:53.000Z,2019-07-24 14:03:53 UTC,2019-07-24T13:59:53Z,01m4P000000m2dc
Closed,,Web,General Inquiry,Low,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,TRUE,2019-02-23T15:25:40.000Z,,2019-02-23T15:21:40.000Z,2019-02-23 15:25:40 UTC,2019-02-23T15:21:40Z,01m4P000000m2dc
Closed,,Email,Product Problem,High,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce,TRUE,2018-11-16T14:50:50.000Z,,2018-11-16T14:46:50.000Z,2018-11-16 14:50:50 UTC,2018-11-16T14:46:50Z,01m4P000000m2dc
Closed,,Web,General Inquiry,Low,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac,TRUE,2018-12-29T02:52:21.000Z,,2018-12-29T02:48:21.000Z,2018-12-29 02:52:21 UTC,2018-12-29T02:48:21Z,01m4P000000m2dc
Closed,,Email,General Inquiry,High,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,TRUE,2019-08-18T09:35:22.000Z,,2019-08-18T09:31:22.000Z,2019-08-18 09:35:22 UTC,2019-08-18T09:31:22Z,01m4P000000m2dc
Closed,,Web,Product Support,Medium,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,TRUE,2019-02-15T06:58:47.000Z,,2019-02-15T06:54:47.000Z,2019-02-15 06:58:47 UTC,2019-02-15T06:54:47Z,01m4P000000m2dc
Closed,,Phone,General Inquiry,Low,dolor sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,TRUE,2018-11-23T00:01:30.000Z,,2018-11-22T23:57:30.000Z,2018-11-23 00:01:30 UTC,2018-11-22T23:57:30Z,01m4P000000m2dc
Closed,,Web,Product Problem,Low,libero nam dui proin leo odio porttitor id consequat in,TRUE,2019-04-27T08:10:00.000Z,,2019-04-27T08:06:00.000Z,2019-04-27 08:10:00 UTC,2019-04-27T08:06:00Z,01m4P000000m2dc
Closed,,Web,Known Issue,Low,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,TRUE,2019-10-14T05:13:15.000Z,,2019-10-14T05:09:15.000Z,2019-10-14 05:13:15 UTC,2019-10-14T05:09:15Z,01m4P000000m2dc
Closed,,Phone,Product Inquiry,Medium,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,TRUE,2019-02-15T17:28:33.000Z,,2019-02-15T17:24:33.000Z,2019-02-15 17:28:33 UTC,2019-02-15T17:24:33Z,01m4P000000m2dc
Closed,,Email,Product Support,Medium,accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,TRUE,2019-09-25T07:48:53.000Z,,2019-09-25T07:44:53.000Z,2019-09-25 07:48:53 UTC,2019-09-25T07:44:53Z,01m4P000000m2dc
Closed,,Web,Product Inquiry,Medium,sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,TRUE,2019-06-14T21:51:21.000Z,,2019-06-14T21:47:21.000Z,2019-06-14 21:51:21 UTC,2019-06-14T21:47:21Z,01m4P000000m2dc
Closed,,Phone,General Inquiry,Medium,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,TRUE,2019-07-11T12:55:02.000Z,,2019-07-11T12:51:02.000Z,2019-07-11 12:55:02 UTC,2019-07-11T12:51:02Z,01m4P000000m2dc
Closed,,Web,Product Problem,Medium,quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,TRUE,2019-06-17T19:39:52.000Z,,2019-06-17T19:35:52.000Z,2019-06-17 19:39:52 UTC,2019-06-17T19:35:52Z,01m4P000000m2dc
Closed,,Web,Product Support,Medium,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus,TRUE,2019-01-09T08:44:00.000Z,,2019-01-09T08:40:00.000Z,2019-01-09 08:44:00 UTC,2019-01-09T08:40:00Z,01m4P000000m2dc
Closed,,Email,Known Issue,Low,sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum,TRUE,2019-09-03T00:37:38.000Z,,2019-09-03T00:33:38.000Z,2019-09-03 00:37:38 UTC,2019-09-03T00:33:38Z,01m4P000000m2dc
Closed,,Phone,Product Support,Low,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,TRUE,2019-06-08T02:19:25.000Z,,2019-06-08T02:15:25.000Z,2019-06-08 02:19:25 UTC,2019-06-08T02:15:25Z,01m4P000000m2dc
Closed,,Web,Product Support,Medium,non mi integer ac neque duis bibendum morbi non quam nec dui,TRUE,2018-11-27T23:29:41.000Z,,2018-11-27T23:25:41.000Z,2018-11-27 23:29:41 UTC,2018-11-27T23:25:41Z,01m4P000000m2dc
Closed,,Email,Product Inquiry,Low,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,TRUE,2019-07-15T14:51:45.000Z,,2019-07-15T14:47:45.000Z,2019-07-15 14:51:45 UTC,2019-07-15T14:47:45Z,01m4P000000m2dc
Closed,,Email,General Inquiry,Low,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,TRUE,2019-06-01T17:05:03.000Z,,2019-06-01T17:01:03.000Z,2019-06-01 17:05:03 UTC,2019-06-01T17:01:03Z,01m4P000000m2dc
