Created Date,Contact_ID__c,Description,IsClosed,IsWon,Name,StageName,Type,Voice_Quality__c,CloseDate
2018-12-12T00:28:44.000Z,86872636302,,FALSE,FALSE,Opportunity for Conner5,Qualification,Existing Business,Good,2018-12-12T00:32:44.000Z
2019-05-27T21:03:04.000Z,87363734051,,TRUE,FALSE,Opportunity for Wood9,Closed Lost,New Business / Add-on,Good,2019-05-27T21:07:04.000Z
2019-07-24T13:59:53.000Z,86242818640,,TRUE,TRUE,Opportunity for McDonald13,Closed Won,New Business / Add-on,Good,2019-07-24T14:03:53.000Z
2019-02-23T15:21:40.000Z,81841637836,,TRUE,TRUE,Opportunity for Jefferson17,Closed Won,New Business / Add-on,Good,2019-02-23T15:25:40.000Z
2018-11-16T14:46:50.000Z,85531955245,,FALSE,FALSE,Opportunity for McLaughlin130,Negotiation/Review,Existing Business,Good,2018-11-16T14:50:50.000Z
2018-12-29T02:48:21.000Z,89208586836,,FALSE,FALSE,Opportunity for Chandler133,Perception Analysis,New Business,Good,2018-12-29T02:52:21.000Z
2019-08-18T09:31:22.000Z,89993437378,,TRUE,TRUE,Opportunity for Rice134,Closed Won,New Business,Good,2019-08-18T09:35:22.000Z
2019-02-15T06:54:47.000Z,85687085291,,FALSE,FALSE,Opportunity for Barnes141,Qualification,New Business / Add-on,Good,2019-02-15T06:58:47.000Z
2018-11-22T23:57:30.000Z,89766458453,,FALSE,FALSE,Opportunity for Edwards146,Perception Analysis,New Business,Good,2018-11-23T00:01:30.000Z
2019-04-27T08:06:00.000Z,85778926381,,FALSE,FALSE,Opportunity for Williams149,Needs Analysis,New Business,Good,2019-04-27T08:10:00.000Z
2019-10-14T05:09:15.000Z,86174492012,,TRUE,FALSE,Opportunity for Wagner150,Closed Lost,Existing Business,Good,2019-10-14T05:13:15.000Z
2019-02-15T17:24:33.000Z,81766556207,,TRUE,TRUE,Opportunity for Lewis258,Closed Won,New Business / Add-on,Good,2019-02-15T17:28:33.000Z
2019-09-25T07:44:53.000Z,85583401390,,FALSE,FALSE,Opportunity for Dennis260,Needs Analysis,Existing Business,Good,2019-09-25T07:48:53.000Z
2019-06-14T21:47:21.000Z,83548078456,,TRUE,TRUE,Opportunity for Pittman263,Closed Won,New Business,Good,2019-06-14T21:51:21.000Z
